trade_utc,wallet,wallet_label,token_id,condition_id,question,outcome_label,side,role,fill_price,fill_size,book_before_age_s,best_bid_before,best_ask_before,mid_before,spread_before,book_after_age_s,best_bid_after,best_ask_after,context_status,null_reason
2026-07-04T17:44:28+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,22574033557479727232684177925599885591442189795867764109586668132624383402779,0xb9aeb568d4a29fb7f30ca7b433e928a22c13f9d60f9328ce09709623aa4f0c6b,Canada vs. Morocco: Canada O/U 2.5,Under,BUY,maker,0.978,3463.098,6,0.977,0.979,0.978,0.002,14,0.971,0.978,usable,
2026-07-04T17:44:28+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,102051736436656560797672629859737891705962543111476656351708851920203673046762,0xa947b7c696453a288460a8e12aae31b854ca02d0b87970ffc259cec8a9fffcd2,Will Morocco win on 2026-07-04?,Yes,BUY,maker,0.34,11.2846,24,0.34,0.35,0.345,0.01,11,0.34,0.35,weak,
2026-07-04T17:44:28+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,59228419522118921740322073257400202560207901520600197934079200999523862262784,0xa5d56c5d51f8f94ff5ae8055ab840a457693a977f2823a4247b51156fd505969,Canada vs. Morocco: 1st Half O/U 0.5,Over,BUY,maker,0.15,570.231,9,0.14,0.16,0.15,0.02,26,0.14,0.15,usable,
2026-07-04T17:44:28+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,59228419522118921740322073257400202560207901520600197934079200999523862262784,0xa5d56c5d51f8f94ff5ae8055ab840a457693a977f2823a4247b51156fd505969,Canada vs. Morocco: 1st Half O/U 0.5,Over,BUY,maker,0.15,7.821,9,0.14,0.16,0.15,0.02,26,0.14,0.15,usable,
2026-07-04T17:44:28+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,111161642908398098947830978130281451414293991294485707199715180584489214684364,0xd8bc43527e521773004e80a8d08c9e0356f1bf757e4b8a925caac68cc8f5eb3b,Canada vs. Morocco: 1st Half O/U 1.5,Under,BUY,taker,0.98,19.61176,22,0.981,0.99,0.9855,0.009,13,0.981,0.99,weak,
2026-07-04T17:44:26+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,59228419522118921740322073257400202560207901520600197934079200999523862262784,0xa5d56c5d51f8f94ff5ae8055ab840a457693a977f2823a4247b51156fd505969,Canada vs. Morocco: 1st Half O/U 0.5,Over,BUY,maker,0.15,42.1125,7,0.14,0.16,0.15,0.02,28,0.14,0.15,usable,
2026-07-04T17:44:26+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,22574033557479727232684177925599885591442189795867764109586668132624383402779,0xb9aeb568d4a29fb7f30ca7b433e928a22c13f9d60f9328ce09709623aa4f0c6b,Canada vs. Morocco: Canada O/U 2.5,Under,BUY,maker,0.978,1063.086,4,0.977,0.979,0.978,0.002,16,0.971,0.978,good,
2026-07-04T17:44:26+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,59228419522118921740322073257400202560207901520600197934079200999523862262784,0xa5d56c5d51f8f94ff5ae8055ab840a457693a977f2823a4247b51156fd505969,Canada vs. Morocco: 1st Half O/U 0.5,Over,BUY,maker,0.15,13.413,7,0.14,0.16,0.15,0.02,28,0.14,0.15,usable,
2026-07-04T17:44:25+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,102051736436656560797672629859737891705962543111476656351708851920203673046762,0xa947b7c696453a288460a8e12aae31b854ca02d0b87970ffc259cec8a9fffcd2,Will Morocco win on 2026-07-04?,Yes,BUY,maker,0.34,2.8492,21,0.34,0.35,0.345,0.01,14,0.34,0.35,weak,
2026-07-04T17:44:23+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,59228419522118921740322073257400202560207901520600197934079200999523862262784,0xa5d56c5d51f8f94ff5ae8055ab840a457693a977f2823a4247b51156fd505969,Canada vs. Morocco: 1st Half O/U 0.5,Over,BUY,maker,0.15,5.6025,4,0.14,0.16,0.15,0.02,,,,good,
2026-07-04T17:44:23+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,20572271143905363739769009174376071134968979053749587517249653617426944665893,0xa0415664157dc5476cea34084eed13420911094589f854ba48ebce18ed357b2b,Exact Score: Canada 0 - 2 Morocco?,Yes,BUY,maker,0.06,3.4242,1,0.06,0.08,0.07,0.02,19,0.07,0.09,excellent,
2026-07-04T17:44:23+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,59228419522118921740322073257400202560207901520600197934079200999523862262784,0xa5d56c5d51f8f94ff5ae8055ab840a457693a977f2823a4247b51156fd505969,Canada vs. Morocco: 1st Half O/U 0.5,Over,BUY,maker,0.15,44.67,4,0.14,0.16,0.15,0.02,,,,good,
2026-07-04T17:44:22+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,102051736436656560797672629859737891705962543111476656351708851920203673046762,0xa947b7c696453a288460a8e12aae31b854ca02d0b87970ffc259cec8a9fffcd2,Will Morocco win on 2026-07-04?,Yes,BUY,maker,0.34,4.046,18,0.34,0.35,0.345,0.01,17,0.34,0.35,weak,
